reset,year,championName,banNumber,year,teamTag,winningPercentage
All-Champion,2016,Elise,28,2016,SKT,more than 50%
All-Champion,2016,Alistar,32,2016,SKT,more than 50%
All-Champion,2016,Graves,38,2016,SKT,more than 50%
All-Champion,2016,Gragas,42,2016,SKT,more than 50%
All-Champion,2016,Trundle,36,2016,SKT,less than 50%
All-Champion,2016,Sivir,32,2016,SKT,more than 50%
All-Champion,2016,Ezreal,30,2016,SKT,more than 50%
All-Champion,2016,Kindred,32,2016,SKT,less than 50%
All-Champion,2016,Lucian,24,2016,SKT,more than 50%
All-Champion,2016,RekSai,30,2016,SKT,more than 50%
